size,threshold_pct,ann_ret,max_dd,IR,sharpe,tvr
10,20.0000,0.2318,0.4359,0.0531,0.8433,0.0520
10,10.0000,0.2518,0.4541,0.0556,0.8829,0.0667
10,5.0000,0.2524,0.4655,0.0563,0.8943,0.0827
10,2.5000,0.2924,0.4907,0.0622,0.9870,0.1072
15,20.0000,0.2641,0.4320,0.0590,0.9365,0.0527
15,10.0000,0.2596,0.4531,0.0579,0.9189,0.0680
15,5.0000,0.2543,0.4711,0.0572,0.9086,0.0862
15,2.5000,0.2925,0.4919,0.0630,1.0002,0.1138
20,20.0000,0.2699,0.4520,0.0602,0.9557,0.0534
20,10.0000,0.2663,0.4520,0.0595,0.9448,0.0700
20,5.0000,0.2533,0.4589,0.0573,0.9093,0.0894
20,2.5000,0.2831,0.4723,0.0621,0.9865,0.1208
30,20.0000,0.2804,0.4369,0.0627,0.9946,0.0544
30,10.0000,0.2552,0.4382,0.0581,0.9227,0.0717
30,5.0000,0.2764,0.4489,0.0618,0.9806,0.0949
30,2.5000,0.2622,0.4723,0.0591,0.9386,0.1364
