layers,quantile,ann_ret
5,1,-0.1732
5,2,0.0518
5,3,0.1022
5,4,0.1432
5,5,0.2165
10,1,-0.2840
10,2,-0.0467
10,3,0.0329
10,4,0.0706
10,5,0.0965
10,6,0.1077
10,7,0.1349
10,8,0.1513
10,9,0.1908
10,10,0.2423
20,1,-0.4014
20,2,-0.1452
20,3,-0.0776
20,4,-0.0154
20,5,0.0334
20,6,0.0319
20,7,0.0663
20,8,0.0745
20,9,0.0928
20,10,0.0997
20,11,0.0987
20,12,0.1164
20,13,0.1310
20,14,0.1385
20,15,0.1417
20,16,0.1607
20,17,0.1877
20,18,0.1936
20,19,0.2118
20,20,0.2730
50,1,-0.5185
50,2,-0.3443
50,3,-0.2084
50,4,-0.1552
50,5,-0.1204
50,6,-0.1197
50,7,-0.0736
50,8,-0.0004
50,9,-0.0210
50,10,-0.0203
50,11,0.0190
50,12,0.0231
50,13,0.0540
50,14,0.0353
50,15,0.0283
50,16,0.0571
50,17,0.0623
50,18,0.0813
50,19,0.0733
50,20,0.0750
50,21,0.0794
50,22,0.0944
50,23,0.1197
50,24,0.0751
50,25,0.1102
50,26,0.0954
50,27,0.0998
50,28,0.1087
50,29,0.1213
50,30,0.1098
50,31,0.1342
50,32,0.1189
50,33,0.1520
50,34,0.1212
50,35,0.1444
50,36,0.1347
50,37,0.1461
50,38,0.1505
50,39,0.1646
50,40,0.1574
50,41,0.1788
50,42,0.1899
50,43,0.1925
50,44,0.2159
50,45,0.1741
50,46,0.1944
50,47,0.2336
50,48,0.2203
50,49,0.2617
50,50,0.2997
